Bérenx,berenx,64300,43.5,-0.85
Bergouey-Viellenave,bergouey-viellenave,64270,43.4228,0.943334
Bernadets,bernadets,64160,43.383333,-0.283333
Berrogain-Laruns,berrogain-laruns,64130,43.25,-0.85
Bescat,bescat,64260,43.133333,-0.416667
Bésingrand,besingrand,64150,43.366667,-0.566667
Bétracq,betracq,64350,43.516667,-0.05
Beuste,beuste,64800,43.216667,-0.233333
Beyrie-en-Béarn,beyrie-en-bearn,64230,43.366667,-0.466667
Beyrie-sur-Joyeuse,beyrie-sur-joyeuse,64120,43.3125,0.919168
Biarritz,biarritz,64200,43.483333,-1.566667
Bidache,bidache,64520,43.483333,-1.133333
Bidarray,bidarray,64780,43.266667,-1.35
Bidart,bidart,64210,43.433333,-1.583333
Bidos,bidos,64400,43.1784,-0.605833
Bielle,bielle,64260,43.05,-0.433333
Bilhères,bilheres,64260,43.066667,-0.45
Billère,billere,64140,43.3,-0.4
Biriatou,biriatou,64700,43.333333,-1.741667
Biron,biron,64300,43.466667,-0.733333
Bizanos,bizanos,64320,43.283333,-0.35
Boeil-Bezing,boeil-bezing,64510,43.216667,-0.266667
Bonloc,bonloc,64240,43.366667,-1.266667
Bonnut,bonnut,64300,43.55,-0.766667
Borce,borce,64490,42.908333,-0.575
Bordères,borderes,64800,43.2,-0.216667
Bordes,bordes,64510,43.233333,-0.283333
Bosdarros,bosdarros,64290,43.216667,-0.366667
Boucau,boucau,64340,43.533333,-1.5
Boueilh-Boueilho-Lasque,boueilh-boueilho-lasque,64330,43.55,-0.316667
Bougarber,bougarber,64230,43.4,-0.466667
Bouillon,bouillon,64410,43.5,-0.5
Boumourt,boumourt,64370,43.433333,-0.516667
Bourdettes,bourdettes,64800,43.2,-0.266667
Bournos,bournos,64450,43.433333,-0.383333
Briscous,briscous,64240,43.466667,-1.333333
Bruges-Capbis-Mifaget,bruges-capbis-mifaget,64800,43.1273,-0.303056
Bugnein,bugnein,64190,43.35,-0.783333
Bunus,bunus,64120,43.216667,-1.066667
Burgaronne,burgaronne,64390,43.416667,-0.9
Buros,buros,64160,43.35,-0.3
Burosse-Mendousse,burosse-mendousse,64330,43.516667,-0.216667
Bussunarits-Sarrasquette,bussunarits-sarrasquette,64220,43.166667,-1.166667
Bustince-Iriberry,bustince-iriberry,64220,43.183333,-1.183333
Buziet,buziet,64680,43.133333,-0.466667
Buzy,buzy,64260,43.133333,-0.45
Cabidos,cabidos,64410,43.55,-0.466667
Cadillon,cadillon,64330,43.533333,-0.15
Cambo-les-Bains,cambo-les-bains,64250,43.366667,-1.4
Came,came,64520,43.483333,-1.116667
Camou-Cihigue,camou-cihigue,64470,43.116667,-0.9
Cardesse,cardesse,64360,43.266667,-0.583333
Caro,caro,64220,43.15,-1.216667
Carrère,carrere,64160,43.466667,-0.283333
