,ID commande,Payment date,Nom du fabricant,Product Category Default,Article,Code postal (Facture),Ville (Facture)
11283,1743,08.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64250.0,SAINT PALAIS
11284,1743,08.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64250.0,SAINT PALAIS
11285,1743,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,SAINT PALAIS
11287,1743,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64250.0,SAINT PALAIS
11288,1743,08.01.2018,FERME BELAZKABIETA,ÉPICERIE,BIZIGAI Piment d'Espelette AOP (50 gr),64250.0,SAINT PALAIS
11289,1743,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,SAINT PALAIS
11291,1750,08.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64240.0,HASPARREN
11292,1750,08.01.2018, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64240.0,HASPARREN
11293,1750,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,HASPARREN
11294,1750,08.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,HASPARREN
11295,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,HASPARREN
11296,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64240.0,HASPARREN
11297,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
11298,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,HASPARREN
11299,1750,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,HASPARREN
11300,1750,08.01.2018,FERME ALASTA,ÉPICERIE,Confiture de pêches (360g),64240.0,HASPARREN
11301,1750,08.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,HASPARREN
11303,1751,08.01.2018, FERME BIXARTEA,ÉPICERIE,compote de pommes 750g,64240.0,AYHERRE
11305,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,AYHERRE
11306,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,AYHERRE
11307,1751,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
11308,1751,08.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,AYHERRE
11309,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,AYHERRE
11310,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64240.0,AYHERRE
11311,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,AYHERRE
11312,1752,08.01.2018,FERME ALASTA,ÉPICERIE,Coulis de Mûres (320g),64240.0,AYHERRE
11313,1752,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
11314,1752,08.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,AYHERRE
11315,1752,08.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64240.0,AYHERRE
11316,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,AYHERRE
11317,1752,08.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,AYHERRE
11318,1753,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64240.0,HASPARREN
11319,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,HASPARREN
11321,1753,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,HASPARREN
11323,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
11324,1753,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,HASPARREN
11325,1754,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,hasparren
11326,1754,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,hasparren
11327,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
11328,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
11329,1754,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
11333,1754,09.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64240.0,hasparren
11334,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chicoree scarole,64780.0,BIDARRAY
11335,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64780.0,BIDARRAY
11336,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64780.0,BIDARRAY
11337,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64780.0,BIDARRAY
11338,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64780.0,BIDARRAY
11339,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64780.0,BIDARRAY
11340,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64780.0,BIDARRAY
11341,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,pomme de terre vapeur (2kg),64780.0,BIDARRAY
11342,1755,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64780.0,BIDARRAY
11343,1755,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64780.0,BIDARRAY
11344,1755,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64780.0,BIDARRAY
11345,1755,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64780.0,BIDARRAY
11346,1755,09.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64780.0,BIDARRAY
11347,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64480.0,ustaritz
11348,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64480.0,ustaritz
11349,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64480.0,ustaritz
11350,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64480.0,ustaritz
11351,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64480.0,ustaritz
11352,1756,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64480.0,ustaritz
11354,1756,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64480.0,ustaritz
11355,1756,09.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64480.0,ustaritz
11356,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
11357,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
11358,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
11359,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64240.0,hasparren
11360,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64240.0,hasparren
11361,1757,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,hasparren
11362,1757,09.01.2018, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,hasparren
11365,1758,09.01.2018, FERME BIXARTEA,CRÈMERIE,Breuil (1kg).,64240.0,hasparren
11366,1758,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64240.0,hasparren
11367,1758,09.01.2018, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,hasparren
11370,1758,09.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,hasparren
11371,1758,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,hasparren
11372,1758,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,hasparren
11373,1758,09.01.2018, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64240.0,hasparren
11374,1758,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou de chine,64240.0,hasparren
11375,1758,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,hasparren
11376,1758,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,hasparren
11377,1759,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64250.0,cambo les bains
11378,1759,09.01.2018, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64250.0,cambo les bains
11379,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,cambo les bains
11380,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64250.0,cambo les bains
11381,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64250.0,cambo les bains
11382,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64250.0,cambo les bains
11383,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64250.0,cambo les bains
11384,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64250.0,cambo les bains
11385,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64250.0,cambo les bains
11386,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64250.0,cambo les bains
11387,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,cambo les bains
11388,1759,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,cambo les bains
11391,1759,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64250.0,cambo les bains
11392,1760,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64250.0,Cambo les bains
11393,1760,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64250.0,Cambo les bains
11394,1760,09.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64250.0,Cambo les bains
11395,1760,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou de chine,64250.0,Cambo les bains
11396,1760,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64250.0,Cambo les bains
11397,1760,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,Cambo les bains
11398,1760,09.01.2018, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64250.0,Cambo les bains
11400,1760,09.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64250.0,Cambo les bains
11401,1760,09.01.2018,FERME ALASTA,ÉPICERIE,Confiture de Figue (360g),64250.0,Cambo les bains
11402,1761,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64480.0,Jatxou
11403,1761,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64480.0,Jatxou
11404,1761,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64480.0,Jatxou
11405,1761,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64480.0,Jatxou
11406,1761,09.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64480.0,Jatxou
11408,1761,09.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64480.0,Jatxou
11409,1761,09.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64480.0,Jatxou
11412,1762,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"Cagette ""surprise""",64250.0,CAMBO LES BAINS
11413,1762,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,CAMBO LES BAINS
11414,1763,09.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,Hasparren
11415,1763,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,Hasparren
11416,1763,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
11419,1764,09.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,Zuraide
11420,1764,09.01.2018, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64250.0,Zuraide
11421,1764,09.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"Cagette ""surprise""",64250.0,Zuraide
11422,1764,09.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64250.0,Zuraide
11424,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,Cambo 
11425,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,Cambo 
11426,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64250.0,Cambo 
11427,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64250.0,Cambo 
11428,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64250.0,Cambo 
11429,1765,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64250.0,Cambo 
11430,1765,10.01.2018,FERME ALASTA,ÉPICERIE,Confiture de Figue (360g),64250.0,Cambo 
11431,1765,10.01.2018,FERME ALASTA,ÉPICERIE,Confiture de pêches (360g),64250.0,Cambo 
11432,1765,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,Cambo 
11433,1766,10.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64480.0,jatxou
11434,1766,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64480.0,jatxou
11435,1766,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64480.0,jatxou
11437,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,AIHERRA
11438,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AIHERRA
11439,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,AIHERRA
11440,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,AIHERRA
11441,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,pomme de terre vapeur (2kg),64240.0,AIHERRA
11442,1767,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,AIHERRA
11443,1767,10.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,AIHERRA
11446,1767,10.01.2018, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,AIHERRA
11447,1768,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64640.0,Saint-Esteben 
11448,1768,10.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64640.0,Saint-Esteben 
11449,1768,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64640.0,Saint-Esteben 
11450,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,Hasparren
11451,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
11452,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64240.0,Hasparren
11453,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,Hasparren
11454,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,Hasparren
11455,1769,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,Hasparren
11456,1769,10.01.2018, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,Hasparren
11457,1769,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,Hasparren
11458,1769,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,Hasparren
11459,1769,10.01.2018, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64240.0,Hasparren
11460,1769,10.01.2018,FERME ALASTA,ÉPICERIE,Coulis de Mûres (320g),64240.0,Hasparren
11461,1770,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64100.0,bayonne
11462,1770,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64100.0,bayonne
11463,1770,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64100.0,bayonne
11464,1770,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64100.0,bayonne
11465,1770,10.01.2018,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64100.0,bayonne
11467,1770,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64100.0,bayonne
11468,1770,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64100.0,bayonne
11469,1770,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64100.0,bayonne
11470,1770,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64100.0,bayonne
11471,1771,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64990.0,SAINT PIERRE D'IRUBE
11472,1771,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64990.0,SAINT PIERRE D'IRUBE
11474,1771,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64990.0,SAINT PIERRE D'IRUBE
11475,1771,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64990.0,SAINT PIERRE D'IRUBE
11476,1771,10.01.2018, FERME ESNEKIAK,VIANDES,Axoa de veau bio  (750g),64990.0,SAINT PIERRE D'IRUBE
11477,1772,10.01.2018, FERME BIXARTEA,CRÈMERIE,Breuil (1kg).,64240.0,HASPARREN
11478,1772,10.01.2018, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64240.0,HASPARREN
11479,1772,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64240.0,HASPARREN
11480,1772,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,HASPARREN
11481,1772,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64240.0,HASPARREN
11482,1772,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,HASPARREN
11483,1772,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,HASPARREN
11486,1773,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,ayherre
11487,1773,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,chicoree scarole,64240.0,ayherre
11488,1773,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,ayherre
11489,1773,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64240.0,ayherre
11491,1774,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,ayherre
11492,1774,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,ayherre
11493,1774,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,ayherre
11494,1774,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,ayherre
11495,1774,10.01.2018, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,ayherre
11496,1775,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,Hasparren
11497,1775,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64240.0,Hasparren
11498,1775,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,Hasparren
11499,1775,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,Hasparren
11500,1775,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,Hasparren
11501,1775,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,Hasparren
11502,1775,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,Hasparren
11503,1775,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
11504,1776,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64640.0,Saint Esteben
11505,1776,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64640.0,Saint Esteben
11508,1776,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64640.0,Saint Esteben
11509,1776,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64640.0,Saint Esteben
11510,1776,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64640.0,Saint Esteben
11511,1776,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64640.0,Saint Esteben
11513,1776,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64640.0,Saint Esteben
11514,1777,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64250.0,CAMBO LES BAINS
11516,1777,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64250.0,CAMBO LES BAINS
11517,1778,10.01.2018, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64480.0,Jatxou
11518,1778,10.01.2018, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64480.0,Jatxou
11519,1778,10.01.2018, FERME BIXARTEA,ÉPICERIE,compote de pommes 750g,64480.0,Jatxou
11521,1778,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64480.0,Jatxou
11522,1778,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64480.0,Jatxou
11523,1778,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64480.0,Jatxou
11524,1778,10.01.2018, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64480.0,Jatxou
11526,1779,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,LOUHOSSOA
11527,1779,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64250.0,LOUHOSSOA
11528,1779,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64250.0,LOUHOSSOA
11529,1779,10.01.2018, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64250.0,LOUHOSSOA
