26397,163,Gabaston,gabaston,64160,43.366667,-0.2
26401,163,Higuères-Souye,higueres-souye,64160,43.383333,-0.266667
26410,163,Lespourcy,lespourcy,64160,43.366667,-0.15
26414,163,Lombia,lombia,64160,43.333333,-0.133333
26417,163,Maucor,maucor,64160,43.35,-0.283333
26425,163,Morlaàs,morlaas,64160,43.35,-0.266667
26428,163,Ouillon,ouillon,64160,43.316667,-0.233333
26436,163,Riupeyrous,riupeyrous,64160,43.4,-0.233333
26438,163,Saint-Armou,saint-armou,64160,43.416667,-0.3
26439,163,Saint-Castin,saint-castin,64160,43.383333,-0.3
26440,163,Saint-Jammes,saint-jammes,64160,43.35,-0.25
26441,163,Saint-Laurent-Bretagne,saint-laurent-bretagne,64160,43.383333,-0.2
26444,163,Sedze-Maubecq,sedze-maubecq,64160,43.35,-0.116667
26445,163,Sedzère,sedzere,64160,43.35,-0.166667
26448,163,Serres-Morlaàs,serres-morlaas,64160,43.333333,-0.25
26450,163,Urost,urost,64160,43.333333,-0.15
26490,163,Carrère,carrere,64160,43.466667,-0.283333
26504,163,Coslédaà-Lube-Boast,cosledaa-lube-boast,64160,43.466667,-0.233333
26520,163,Gerderest,gerderest,64160,43.416667,-0.183333
26555,163,Lussagnet-Lusson,lussagnet-lusson,64160,43.433333,-0.2
26566,163,Monassut-Audiracq,monassut-audiracq,64160,43.416667,-0.2
26611,163,Sévignacq,sevignacq,64160,43.4417,-0.262778
26461,163,Artix,artix,64170,43.4,-0.55
26493,163,Casteide-Cami,casteide-cami,64170,43.416667,-0.516667
26500,163,Cescau,cescau,64170,43.416667,-0.5
26525,163,Labastide-Cézéracq,labastide-cezeracq,64170,43.383333,-0.533333
26526,163,Labastide-Monréjeau,labastide-monrejeau,64170,43.4,-0.516667
26531,163,Lacq,lacq,64170,43.416667,-0.633333
26610,163,Serres-Sainte-Marie,serres-sainte-marie,64170,43.416667,-0.55
26620,163,Viellenave-d\Arthez,viellenave-darthez,64170,43.416667,-0.483333
26639,163,Angous,angous,64190,43.3,-0.816667
26642,163,Araujuzon,araujuzon,64190,43.366667,-0.816667
26643,163,Araux,araux,64190,43.35,-0.8
26659,163,Audaux,audaux,64190,43.366667,-0.783333
